make,address,all,num3d,our,over,remove,internet,order,mail,receive,will,people,report,addresses,free,business,email,you,credit,your,font,num000,money,hp,hpl,george,num650,lab,labs,telnet,num857,data,num415,num85,technology,num1999,parts,pm,direct,cs,meeting,original,project,re,edu,table,conference,charSemicolon,charRoundbracket,charSquarebracket,charExclamation,charDollar,charHash,capitalAve,capitalLong,capitalTotal,type
0.00, 0.00,0.00, 0.00, 2.94,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 2.94,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.404,0.404,0.000, 0.809,0.000, 0.000,   4.857,  12,   34,spam
0.00, 0.00,0.00, 0.00, 1.16,0.00,0.00, 0.00,0.00, 0.00,0.00,0.58,0.00, 0.00,0.00, 1.16,0.00,1.16, 1.16, 0.00, 1.75, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.133,0.000, 0.667,0.000, 0.000,   1.131,   5,   69,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 1.44, 0.00,0.00, 0.00,0.000,0.196,0.000, 0.392,0.196, 0.000,   5.466,  22,   82,spam
0.05, 0.07,0.10, 0.00, 0.76,0.05,0.15, 0.02,0.55, 0.00,0.10,0.47,0.02, 0.00,0.00, 0.00,0.02,0.13, 2.09, 0.10, 1.57, 0.00,0.05, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.02,0.10,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.042,0.101,0.016, 0.250,0.046, 0.059,   2.565,  66, 2258,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 1.44, 0.00,0.00, 0.00,0.000,0.196,0.000, 0.392,0.196, 0.000,   5.466,  22,   82,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,1.66, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 3.33, 0.00, 0.00, 0.00,0.00, 3.33, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.368,0.000, 0.000,   2.611,  12,   47,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 3.33,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.352,0.000, 0.352,0.000, 0.000,   4.000,  11,   36,spam
0.00, 0.00,0.00, 0.00, 0.65,0.00,0.65, 0.00,0.00, 0.00,0.65,0.65,0.00, 0.00,0.00, 0.65,1.30,0.00, 1.30, 5.22, 1.30, 0.00,0.00, 0.65, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.459,0.000, 0.091,0.000, 0.000,   2.687,  66,  129,spam
1.17, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,1.17,0.00, 0.00,0.00, 0.00,1.17,0.00, 3.52, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 1.17, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.886,0.000, 0.000,   1.966,  10,   59,spam
0.00, 0.00,3.03, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 3.03,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.352,0.000, 2.112,0.000, 0.000,   3.909,  11,   43,spam
0.00, 0.00,0.00, 0.00, 1.89,0.27,0.00, 0.00,0.00, 0.00,0.00,0.81,0.00, 0.00,0.00, 0.27,0.00,0.00, 3.51, 0.00, 2.70, 0.00,0.00, 0.27, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.045,0.000, 0.000,0.091, 0.000,   1.390,  11,   89,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,4.83, 4.83, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.000,0.302, 0.000,   1.700,   5,   17,spam
0.00, 0.68,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.68,1.36,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 2.04, 0.00, 0.68, 0.00,0.00, 0.00, 0.68, 0.00, 0.00,0.68, 0.00,0.00, 1.36,0.00, 0.00,0.00, 0.68,0.00,1.36,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.185, 0.000,0.000, 0.000,   3.826,  30,  264,spam
0.00, 0.00,2.56, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 5.12, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.308,0.000, 1.543,0.000, 0.000,   2.777,   6,   25,spam
0.00, 0.00,0.00, 0.00, 2.94,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 2.94,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.436,0.436,0.000, 0.873,0.000, 0.000,   4.142,  12,   29,spam
0.00, 0.00,0.48, 0.00, 1.46,0.00,0.48, 0.00,0.00, 0.00,0.00,0.97,0.00, 0.00,0.00, 0.48,0.97,0.00, 2.43, 0.00, 2.43, 0.00,0.48, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.48, 0.00,0.00, 0.00,0.000,0.081,0.000, 0.488,0.244, 0.000,   5.431,  78,  239,spam
0.00, 0.48,0.48, 0.00, 0.48,0.00,0.00, 0.00,0.00, 0.00,0.00,0.97,0.00, 0.00,0.00, 0.48,0.00,0.97, 1.46, 0.00, 0.97, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.080,0.000, 0.963,0.000, 0.000,   3.100,  61,  186,spam
0.00, 0.41,1.66, 0.00, 0.41,0.00,0.00, 0.00,0.00, 0.00,0.00,0.41,0.00, 0.00,0.00, 0.41,0.00,0.83, 2.08, 0.00, 1.25, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.41, 0.00,0.00, 0.00,0.000,0.068,0.000, 0.750,0.000, 0.000,   3.851, 121,  285,spam
0.30, 0.00,0.00, 0.00, 0.61,0.92,0.00, 2.45,0.00, 0.00,0.00,0.30,1.53, 0.00,0.00, 0.00,0.00,0.30, 2.76, 0.00, 0.61, 0.00,0.30, 0.61, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.30,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.051,0.000, 0.207,0.207, 0.000,   2.132,  30,  226,spam
0.00, 0.00,0.00, 0.00, 2.94,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 2.94,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.335,0.335,0.000, 0.671,0.000, 0.000,   4.000,  12,   28,spam
0.00, 0.00,0.00, 0.00, 2.94,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 2.94,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.355,0.355,0.000, 0.711,0.000, 0.000,   4.000,  12,   28,spam
0.00, 0.00,0.55, 0.00, 1.11,0.00,0.18, 0.00,0.00, 0.00,0.00,0.18,0.92, 0.00,0.18, 0.00,0.37,0.37, 3.15, 0.00, 0.92, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.182,0.000, 0.426,0.000, 0.000,   1.283,   4,   68,spam
0.00, 0.00,0.00, 0.00, 0.52,0.00,0.26, 0.52,0.00, 0.26,0.26,0.52,0.00, 0.00,0.00, 0.26,1.56,0.26, 1.82, 2.08, 0.26, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.073,0.000, 0.813,0.036, 0.147,   2.145,  38,  339,spam
0.15, 0.45,1.05, 0.00, 0.45,0.00,0.00, 1.81,0.60, 0.75,0.00,0.90,0.30, 0.00,0.30, 0.00,0.00,0.00, 4.07, 0.00, 1.51, 0.00,0.00, 0.30, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.15, 0.00,0.00, 0.00,0.000,0.250,0.000, 1.318,0.068, 0.000,   5.301, 130,  774,spam
0.18, 0.00,0.18, 0.00, 1.57,0.36,0.06, 0.06,0.06, 0.12,0.06,0.54,0.30, 0.06,0.00, 0.00,0.72,0.06, 4.54, 0.24, 1.09, 0.00,0.84, 0.06, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.06, 0.00, 0.06, 0.00,0.00, 0.00,0.010,0.052,0.000, 0.010,0.167, 0.000,   1.733,  12,  442,spam
0.49, 0.00,0.99, 0.00, 0.00,0.99,0.00, 0.00,0.00, 0.99,0.99,2.48,0.49, 0.00,0.00, 4.97,0.99,0.00, 3.48, 0.00, 1.99, 0.00,0.49, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.340,0.000, 0.170,0.000, 0.000,   1.468,   8,   94,spam
0.46, 0.30,0.46, 0.00, 0.05,0.12,0.05, 0.28,0.43, 0.74,0.25,0.97,0.56, 1.23,0.00, 0.25,0.43,0.02, 3.22, 0.00, 1.46, 0.00,1.05, 0.36, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.02, 0.00,0.00, 0.00,0.000,0.065,0.000, 0.325,0.756, 0.153,   5.891, 193, 3040,spam
0.46, 0.46,0.26, 0.00, 0.00,0.33,0.06, 0.33,0.00, 1.12,0.39,0.73,0.79, 0.00,0.26, 0.26,0.00,0.26, 3.51, 0.00, 0.66, 0.00,0.19, 0.26, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.036,0.084,0.000, 0.278,0.230, 0.084,   3.887,  40,  898,spam
0.00, 1.92,0.00, 0.00, 1.92,0.00,0.00, 0.00,0.00, 0.00,0.00,1.92,0.00, 0.00,0.00, 0.00,0.00,0.00, 1.92, 0.00, 3.84, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.000,0.000, 0.000,   2.750,  12,   33,spam
0.73, 0.36,1.09, 0.00, 0.00,0.73,0.73, 1.09,0.36, 0.36,0.00,0.36,0.00, 0.00,0.00, 1.09,0.36,0.36, 2.19, 2.19, 2.19, 0.00,1.83, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.110,0.000, 0.498,0.332, 0.000,   3.254,  30,  179,spam
